Survey Data:
City,State/Region,Postal,Industry,Size,AgeGroup,CurrentPolicy,DesiredPolicy
,,,Accommodation and Food Services,0-19 Employees,55-64,Hybrid - weekly required in-person,Most of the time
,,,Construction,0-19 Employees,45-54,Hybrid - employee optional in-person,Some of the time
,,,"Arts, Entertainment, and Recreation",0-19 Employees,22-24,In-person only,Some of the time
Minneapolis,MN,55407,Accommodation and Food Services,0-19 Employees,55-64,Hybrid - weekly required in-person,Some of the time
Minneapolis,MN,55421,Information,0-19 Employees,25-35,Hybrid - employee optional in-person,Most of the time
Minneapolis,MN,55421,Information,0-19 Employees,35-44,Hybrid - employee optional in-person,Some of the time
Minneapolis,MN,55421,"Professional, Scientific, and Technical Services",20-49 Employees,35-44,Hybrid - employee optional in-person,Most of the time
Minneapolis,MN,55421,Construction,0-19 Employees,55-64,Fully remote - NO physical location,Most of the time
Minneapolis,MN,55421,"Professional, Scientific, and Technical Services",50-249 Employees,45-54,Hybrid - weekly required in-person,Some of the time
Minneapolis,MN,55421,"Professional, Scientific, and Technical Services",20-49 Employees,45-54,Hybrid - weekly required in-person,Most of the time
Minneapolis,MN,55421,"Professional, Scientific, and Technical Services",20-49 Employees,35-44,Fully remote - NO physical location,Most of the time
Minneapolis,MN,55421,Health Care and Social Assistance,50-249 Employees,45-54,Hybrid - weekly required in-person,Some of the time
Minneapolis,MN,55421,Health Care and Social Assistance,20-49 Employees,25-35,Fully remote - NO physical location,All of the time
Minneapolis,MN,55421,Health Care and Social Assistance,20-49 Employees,22-24,Fully remote - NO physical location,Most of the time
Minneapolis,MN,55421,Management of Companies and Enterprises,50-249 Employees,14-18,Hybrid - employee optional in-person,All of the time
Minneapolis,MN,55421,Transportation and Warehousing,20-49 Employees,25-35,Hybrid - employee optional in-person,Most of the time
Minneapolis,MN,55421,Utilities,20-49 Employees,55-64,Hybrid - employee optional in-person,Some of the time
Minneapolis,MN,55421,Other Services (except Public Administration),0-19 Employees,45-54,Fully remote - NO physical location,All of the time
Minneapolis,MN,55421,"Professional, Scientific, and Technical Services",20-49 Employees,35-44,Hybrid - employee optional in-person,Some of the time
Minneapolis,MN,55421,Management of Companies and Enterprises,20-49 Employees,45-54,Hybrid - employee optional in-person,Some of the time
Minneapolis,MN,55421,Health Care and Social Assistance,20-49 Employees,45-54,Hybrid - weekly required in-person,Most of the time
Minneapolis,MN,55421,,,,,
Minneapolis,MN,55421,Construction,0-19 Employees,35-44,Hybrid - weekly required in-person,Some of the time
Minneapolis,MN,55421,,,,,
Minneapolis,MN,55421,Accommodation and Food Services,50-249 Employees,22-24,In-person only,Some of the time
Minneapolis,MN,55425,Retail Trade,20-49 Employees,22-24,Hybrid - employee optional in-person,Most of the time
Minneapolis,MN,55445,,,,,
Minneapolis,MN,55445,Health Care and Social Assistance,0-19 Employees,Prefer not to answer,Hybrid - weekly required in-person,Some of the time
